bug,entropy,frequency,version_cnt,up_time
104567,0.6409970901874827,36322,23,0.0
87204,0.6549143013266017,38736,15,0.0
108184,0.6121699109957027,2588,19,0.0
112512,0.6338888658620153,28887,32,0.0
100574,0.39346527576120466,50,12,0.0
108225,0.6359720499792211,21914,35,0.0
104925,0.563332299261986,9063,28,0.0
103893,0.6289533138014004,32974,23,0.0
106424,0.5303797187137829,371638,28,0.0
101178,0.6359720499792211,21914,35,0.0
109052,0.6359720499792211,21914,35,0.0
108229,0.6121699109957027,2588,19,0.0
106936,0.5871715537957339,20233,31,0.0
105941,0.5303797187137829,371638,28,0.0
111308,0.4619044570296578,52,14,0.0
105376,0.6208672756579539,39034,28,0.0
109856,0.5908479532294223,572,21,0.0
109859,0.45290431687334487,50,5,0.0
105188,0.6599910093196975,2091,23,0.0
104164,0.41091134743047814,110,6,0.0
100151,0.6208672756579539,39034,28,0.0
106265,0.6549143013266017,38736,15,0.0
109342,0.6359720499792211,21914,35,0.0
106064,0.6359720499792211,21914,35,0.0
107869,0.3603525859894946,50,13,0.0
111425,0.6359720499792211,21914,35,0.0
103073,0.6596257089936183,19680,34,0.0
108116,0.563332299261986,9063,28,0.0
106557,0.6596257089936183,19680,34,0.0
104924,0.5458181074388827,14336,14,0.0
111897,0.6359720499792211,21914,35,0.0
108297,0.6549143013266017,38736,15,0.0
112263,0.6359720499792211,21914,35,0.0
105938,0.2757600815999149,50,8,0.0
105247,0.6289533138014004,32974,23,0.0
109261,0.5595499659169196,250,21,0.0
101785,0.512435728554287,405,17,0.0
107064,0.5891285502397733,1507,21,0.0
107959,0.6596257089936183,19680,34,0.0
106490,0.6359720499792211,21914,35,0.0
112455,0.6338888658620153,28887,32,0.0
104286,0.6409970901874827,36322,23,0.0
109863,0.6359720499792211,21914,35,0.0
108979,0.6359720499792211,21914,35,0.0
108282,0.5871715537957339,20233,31,0.0
105656,0.6359720499792211,21914,35,0.0
109376,0.5743608326828799,719,20,0.0
105092,0.6501197016642938,10467,14,0.0
104830,0.4240111746629582,93810,19,0.0
112168,0.6338888658620153,28887,32,0.0
105097,0.6647782798252792,8953,18,0.0
108987,0.5871715537957339,20233,31,0.0
102688,0.6208672756579539,39034,28,0.0
107378,0.5595499659169196,250,21,0.0
105252,0.6647782798252792,8953,18,0.0
105769,0.5871715537957339,20233,31,0.0
101253,0.6359720499792211,21914,35,0.0
69401,0.6549143013266017,38736,15,0.0
104148,0.5314275678411704,155,18,0.0
104149,0.6121699109957027,2588,19,0.0
101383,0.6359720499792211,21914,35,0.0
105169,0.4240111746629582,93810,19,0.0
106891,0.5616057008104357,244,19,0.0
105166,0.6289533138014004,32974,23,0.0
101309,0.5133423925307211,117,18,0.0
100872,0.638267416540681,29043,28,0.0
105315,0.6289533138014004,32974,23,0.0
104399,0.40357068979425725,35754,17,0.0
107534,0.4033766539518485,48,12,0.0
100813,0.5595499659169196,250,21,0.0
105383,0.37760177228457564,52,1,0.0
106120,0.5871715537957339,20233,31,0.0
106121,0.5871715537957339,20233,31,0.0
104094,0.664198092177226,23815,27,0.0
104686,0.44082996458801804,52,12,0.0
104218,0.41091134743047814,110,6,0.0
108303,0.6549143013266017,38736,15,0.0
108886,0.6359720499792211,21914,35,0.0
105015,0.37760177228457564,52,1,0.0
105014,0.3058146027963009,21,9,0.0
105017,0.6359720499792211,21914,35,0.0
108039,0.43454544966164044,41,13,0.0
102524,0.6208672756579539,39034,28,0.0
107975,0.42514843686457765,66,17,0.0
107976,0.664198092177226,23815,27,0.0
106776,0.6549143013266017,38736,15,0.0
105858,0.4619044570296578,52,14,0.0
109008,0.40537400813967644,51,15,0.0
107973,0.6038574209406236,1001,20,0.0
105554,0.6289533138014004,32974,23,0.0
102045,0.6501197016642938,10467,14,0.0
107603,0.6359720499792211,21914,35,0.0
104265,0.3934377754357767,51,10,0.0
103267,0.4022157022178095,50,14,0.0
104266,0.6596257089936183,19680,34,0.0
105157,0.5303797187137829,371638,28,0.0
113548,0.6121699109957027,2588,19,0.0
108552,0.37887443712432795,50,12,0.0
107887,0.5292191716712146,7059,32,0.0
98202,0.5743608326828799,719,20,0.0
103823,0.6208672756579539,39034,28,0.0
111077,0.4619044570296578,52,14,0.0
112310,0.5271253019565295,707,11,0.0
107527,0.563332299261986,9063,28,0.0
113097,0.5327032086522212,269,19,0.0
109054,0.6549143013266017,38736,15,0.0
106131,0.6302430449101052,9773,29,0.0
105410,0.3858441429644334,50,3,0.0
107729,0.6205884717873412,765,22,0.0
98868,0.4298624546518699,100,8,0.0
103452,0.6359720499792211,21914,35,0.0
105022,0.6289533138014004,32974,23,0.0
103504,0.563332299261986,9063,28,0.0
107297,0.6198852916779711,2664,14,0.0
110447,0.6409970901874827,36322,23,0.0
106583,0.25234110245056407,4959,26,0.0
108602,0.3914939876790899,55,16,0.0
101327,0.6208672756579539,39034,28,0.0
105888,0.6549143013266017,38736,15,0.0
103613,0.45290431687334487,50,5,0.0
105546,0.6289533138014004,32974,23,0.0
107799,0.35276006808613897,50,17,0.0
105522,0.6208672756579539,39034,28,0.0
112169,0.6338888658620153,28887,32,0.0
104969,0.6647782798252792,8953,18,0.0
104535,0.6501197016642938,10467,14,0.0
104639,0.5540294733596289,264,18,0.0
107023,0.6549143013266017,38736,15,0.0
95579,0.6174043346162628,1321,28,0.0
107550,0.6549143013266017,38736,15,0.0
104034,0.4343824657385115,50,5,0.0
99626,0.432002899916546,7260,27,0.0
106020,0.5909308773263657,1653,18,0.0
108153,0.5750457456508345,19879,25,0.0
107226,0.5303797187137829,371638,28,0.0
105287,0.5303797187137829,371638,28,0.0
103809,0.6359720499792211,21914,35,0.0
107732,0.44681146496747326,51,16,0.0
111173,0.3276758548898725,49,11,0.0
104462,0.4343824657385115,50,5,0.0
99837,0.45364450990875316,51,11,0.0
103340,0.45550072266792185,1137,15,0.0
108881,0.6359720499792211,21914,35,0.0
107730,0.6359720499792211,21914,35,0.0
104402,0.6622724696203679,11878,32,0.0
108339,0.5253727776411202,857,17,0.0
112282,0.5292191716712146,7059,32,0.0
106282,0.490879842564779,1097,19,0.0
111200,0.4619044570296578,52,14,0.0
107781,0.6121699109957027,2588,19,0.0
106722,0.42300878427494526,50,16,0.0
106724,0.4619044570296578,52,14,0.0
107427,0.6142086395420129,2172,23,0.0
104870,0.6175925540623548,1698,25,0.0
113657,0.4296378287469936,50,14,0.0
100692,0.5438096066832312,9560,22,0.0
104967,0.44330746022665607,51,10,0.0
103634,0.6338888658620153,28887,32,0.0
108324,0.6359720499792211,21914,35,0.0
104234,0.39929818476458334,51,16,0.0
105129,0.40357068979425725,35754,17,0.0
106526,0.6359720499792211,21914,35,0.0
105353,0.2757600815999149,50,8,0.0
100823,0.6359720499792211,21914,35,0.0
109337,0.5871715537957339,20233,31,0.0
106220,0.664198092177226,23815,27,0.0
107474,0.5540294733596289,264,18,0.0
108982,0.6359720499792211,21914,35,0.0
111793,0.6359720499792211,21914,35,0.0
111522,0.5540294733596289,264,18,0.0
100681,0.664198092177226,23815,27,0.0
106161,0.5595499659169196,250,21,0.0
111974,0.5123956795263476,727,16,0.0
105118,0.6549143013266017,38736,15,0.0
102247,0.41713485362359365,50,14,0.0
108930,0.6200093215560264,535,21,0.0
103927,0.5903789459008567,1377,21,0.0
103926,0.6121699109957027,2588,19,0.0
112637,0.6338888658620153,28887,32,0.0
105055,0.44330746022665607,51,10,0.0
