bugID,hour,week_day,month_day,month,year_day,component,title_size,platform,severity,priority,cc_count,comment_size,invalid_status,is_closed,patch_count,fixing_time,reopened_count,triaging_time,uptime,developer_count,reporter_exp,assignee_exp,region
100151,5,Tue,31,May,152,,1,,major,high,15,48,NO,1,0,20713169.0,,20713169.0,0.0,,1,1,high
100574,2,Fri,24,Jun,176,,3,,major,medium,4,13,NO,1,0,9729810.0,,9729810.0,0.0,,2,2,isolated
100681,15,Wed,29,Jun,181,,4,,normal,medium,2,3,NO,1,0,12567784.0,,12567784.0,0.0,,3,3,high
100692,11,Thu,30,Jun,182,,1,,normal,medium,1,5,NO,1,0,10134036.0,,10134036.0,0.0,,4,4,isolated
100813,12,Fri,8,Jul,190,,1,,critical,highest,10,69,NO,1,0,25930695.0,,25930695.0,0.0,,5,5,isolated
100823,13,Sat,9,Jul,191,,1,,critical,high,2,7,NO,1,0,-1,,-1,0.0,,6,6,high
100872,15,Tue,12,Jul,194,,3,,normal,medium,0,5,NO,1,0,1812606.0,,1812606.0,0.0,,7,7,high
101178,15,Thu,28,Jul,210,,1,,critical,highest,6,14,NO,1,0,-1,,-1,0.0,,8,8,high
101253,22,Mon,1,Aug,214,,1,,normal,medium,1,5,NO,1,0,680813.0,,680813.0,0.0,,9,9,high
101309,22,Thu,4,Aug,217,,1,,critical,medium,1,11,NO,1,0,473579.0,,473579.0,0.0,,10,10,isolated
101327,16,Fri,5,Aug,218,,1,,normal,medium,4,26,NO,1,0,16046159.0,,16046159.0,0.0,,11,11,high
101383,10,Mon,8,Aug,221,,1,,critical,high,0,5,NO,1,0,-1,,-1,0.0,,12,12,high
101785,2,Tue,30,Aug,243,,2,,critical,medium,1,4,NO,1,0,18164744.0,,18164744.0,0.0,,13,13,isolated
102045,14,Sat,10,Sep,254,,1,,critical,high,4,15,NO,1,0,10085338.0,,10085338.0,0.0,,14,14,moderate
102247,21,Sat,17,Sep,261,,2,,normal,medium,3,12,NO,1,0,22081499.0,,22081499.0,0.0,,15,15,isolated
102524,16,Mon,26,Sep,270,,1,,normal,medium,2,3,YES,1,0,101007.0,,101007.0,0.0,,16,16,high
102688,20,Tue,27,Sep,271,,1,,critical,high,6,27,NO,1,0,24706221.0,,24706221.0,0.0,,17,17,high
103073,20,Sun,9,Oct,283,,2,,normal,medium,1,2,YES,1,0,64824.0,,64824.0,0.0,,18,18,high
103267,5,Mon,17,Oct,291,,1,,normal,medium,1,11,YES,1,0,609599.0,,609599.0,0.0,,19,19,isolated
103340,21,Wed,19,Oct,293,,3,,normal,medium,3,7,YES,1,0,1865120.0,,1865120.0,0.0,,20,20,isolated
103452,8,Mon,24,Oct,298,,1,,normal,medium,3,9,NO,1,0,22401505.0,,22401505.0,0.0,,21,21,high
103504,20,Tue,25,Oct,299,,1,,normal,medium,2,6,YES,1,0,1624332.0,,1624332.0,0.0,,22,22,isolated
103613,22,Mon,31,Oct,305,,1,,normal,medium,3,5,YES,1,0,124677.0,,124677.0,0.0,,23,23,isolated
103634,4,Wed,2,Nov,307,,2,,normal,medium,1,6,YES,1,0,26395411.0,,26395411.0,0.0,,24,24,high
103809,13,Wed,9,Nov,314,,1,,critical,high,4,12,NO,1,0,-1,,-1,0.0,,25,25,high
103823,8,Thu,10,Nov,315,,1,,normal,medium,1,2,YES,1,0,3972.0,,3972.0,0.0,,26,26,high
103893,21,Sat,12,Nov,317,,3,,critical,medium,3,13,YES,1,0,5188632.0,,5188632.0,0.0,,27,27,high
103926,15,Mon,14,Nov,319,,1,,normal,medium,7,39,YES,1,0,28578139.0,,28578139.0,0.0,,28,28,moderate
103927,16,Mon,14,Nov,319,,5,,critical,high,2,18,NO,1,0,25266877.0,,25266877.0,0.0,,29,29,isolated
104034,17,Sat,19,Nov,324,,2,,normal,medium,8,19,NO,1,0,2055305.0,,2055305.0,0.0,,30,30,isolated
104094,17,Mon,21,Nov,326,,4,,normal,medium,4,7,YES,1,0,931012.0,,931012.0,0.0,,31,31,high
104148,18,Thu,24,Nov,329,,2,,normal,medium,5,15,YES,1,0,6190432.0,,6190432.0,0.0,,32,32,isolated
104149,18,Thu,24,Nov,329,,1,,normal,medium,2,4,YES,1,0,29092418.0,,29092418.0,0.0,,33,33,moderate
104164,14,Fri,25,Nov,330,,5,,normal,medium,4,12,YES,1,0,13914961.0,,13914961.0,0.0,,34,34,isolated
104218,11,Mon,28,Nov,333,,5,,normal,medium,0,2,YES,1,0,88165.0,,88165.0,0.0,,35,35,isolated
104234,17,Mon,28,Nov,333,,1,,critical,medium,1,7,YES,1,0,14163671.0,,14163671.0,0.0,,36,36,isolated
104265,18,Tue,29,Nov,334,,4,,normal,medium,1,8,NO,1,0,12862802.0,,12862802.0,0.0,,37,37,isolated
104266,18,Tue,29,Nov,334,,2,,normal,medium,2,5,YES,1,0,9163059.0,,9163059.0,0.0,,38,38,high
104286,17,Wed,30,Nov,335,,1,,normal,medium,2,8,YES,1,0,3122983.0,,3122983.0,0.0,,39,39,high
104399,19,Sun,4,Dec,339,,7,,normal,medium,2,8,YES,1,0,3057147.0,,3057147.0,0.0,,40,40,skewed
104402,4,Mon,5,Dec,340,,1,,major,high,2,8,NO,0,0,-1,,-1,0.0,,41,41,high
104462,12,Wed,7,Dec,342,,2,,minor,medium,1,2,YES,1,0,1170.0,,1170.0,0.0,,42,42,isolated
104535,17,Fri,9,Dec,344,,1,,normal,medium,1,4,YES,1,0,1544020.0,,1544020.0,0.0,,43,43,moderate
104567,20,Sat,10,Dec,345,,1,,critical,highest,5,6,YES,1,0,2512588.0,,2512588.0,0.0,,44,44,high
104639,13,Tue,13,Dec,348,,1,,critical,highest,3,8,NO,0,0,-1,,-1,0.0,,45,45,isolated
104686,21,Wed,14,Dec,349,,1,,normal,medium,6,24,NO,1,0,21785275.0,,21785275.0,0.0,,46,46,isolated
104830,8,Wed,21,Dec,356,,1,,critical,highest,13,23,NO,1,0,-1,,-1,0.0,,47,47,skewed
104870,17,Thu,22,Dec,357,,1,,major,high,3,28,NO,0,0,-1,,-1,0.0,,48,48,moderate
104924,20,Sun,25,Dec,360,,4,,normal,medium,0,3,YES,1,0,11037295.0,,11037295.0,0.0,,49,49,skewed
104925,21,Sun,25,Dec,360,,1,,normal,medium,4,6,YES,1,0,1026969.0,,1026969.0,0.0,,50,50,isolated
104967,22,Wed,28,Dec,363,,5,,major,high,2,27,NO,1,0,4737046.0,,4737046.0,0.0,,51,51,isolated
104969,23,Wed,28,Dec,363,,1,,minor,medium,10,24,NO,1,0,-1,,-1,0.0,,52,52,moderate
105014,6,Sat,31,Dec,366,,1,,critical,highest,3,13,NO,1,0,1579505.0,,1579505.0,0.0,,53,53,isolated
105015,8,Sat,31,Dec,366,,2,,major,highest,19,51,NO,1,0,4007028.0,,4007028.0,0.0,,54,54,isolated
105017,9,Sat,31,Dec,366,,1,,critical,highest,5,17,NO,1,0,-1,,-1,0.0,,55,55,high
105022,22,Sat,31,Dec,366,,3,,normal,medium,1,2,YES,1,0,514226.0,,514226.0,0.0,,56,56,high
105055,19,Mon,2,Jan,2,,5,,critical,highest,4,13,YES,1,0,12731715.0,,12731715.0,0.0,,57,57,isolated
105092,9,Wed,4,Jan,4,,1,,normal,medium,2,4,YES,1,0,64371.0,,64371.0,0.0,,58,58,moderate
105097,14,Wed,4,Jan,4,,1,,normal,high,3,5,YES,1,0,5961.0,,5961.0,0.0,,59,59,moderate
105118,4,Thu,5,Jan,5,,6,,normal,medium,2,7,NO,1,0,2337067.0,,2337067.0,0.0,,60,60,high
105129,18,Thu,5,Jan,5,,7,,normal,medium,4,9,YES,1,0,16121050.0,,16121050.0,0.0,,61,61,skewed
105157,23,Fri,6,Jan,6,,4,,normal,medium,3,4,YES,1,0,1338469.0,,1338469.0,0.0,,62,62,skewed
105166,10,Sat,7,Jan,7,,3,,normal,medium,2,2,YES,1,0,100636.0,,100636.0,0.0,,63,63,high
105169,11,Sat,7,Jan,7,,1,,normal,medium,1,2,YES,1,0,283537.0,,283537.0,0.0,,64,64,skewed
105188,14,Sun,8,Jan,8,,1,,critical,highest,6,10,NO,1,0,680056.0,,680056.0,0.0,,65,65,moderate
105247,0,Wed,11,Jan,11,,3,,normal,medium,2,4,YES,1,0,48439.0,,48439.0,0.0,,66,66,high
105252,10,Wed,11,Jan,11,,1,,normal,medium,0,2,YES,1,0,1923.0,,1923.0,0.0,,67,67,moderate
105287,15,Thu,12,Jan,12,,4,,normal,medium,1,2,YES,1,0,2825.0,,2825.0,0.0,,68,68,skewed
105315,20,Fri,13,Jan,13,,3,,normal,medium,3,7,YES,1,0,87579.0,,87579.0,0.0,,69,69,high
105353,20,Sun,15,Jan,15,,1,,normal,medium,1,5,YES,1,0,11883288.0,,11883288.0,0.0,,70,70,isolated
105376,21,Mon,16,Jan,16,,1,,normal,medium,1,4,YES,1,0,2568285.0,,2568285.0,0.0,,71,71,high
105383,11,Tue,17,Jan,17,,2,,normal,medium,2,2,YES,1,0,693.0,,693.0,0.0,,72,72,isolated
105410,10,Wed,18,Jan,18,,1,,normal,medium,2,22,NO,1,0,15548787.0,,15548787.0,0.0,,73,73,isolated
105522,14,Wed,25,Jan,25,,1,,normal,medium,2,3,YES,1,0,14358469.0,,14358469.0,0.0,,74,74,high
105546,15,Thu,26,Jan,26,,3,,normal,medium,1,2,YES,1,0,10955.0,,10955.0,0.0,,75,75,high
105554,17,Thu,26,Jan,26,,3,,normal,medium,2,3,YES,1,0,6492.0,,6492.0,0.0,,76,76,high
105656,22,Tue,31,Jan,31,,1,,normal,medium,1,7,NO,1,0,3132425.0,,3132425.0,0.0,,77,77,high
105769,13,Sun,5,Feb,36,,5,,critical,high,9,27,YES,1,0,14724481.0,,14724481.0,0.0,,78,78,skewed
105858,13,Wed,8,Feb,39,,1,,critical,highest,4,16,NO,1,0,1755894.0,,1755894.0,0.0,,79,79,isolated
105888,18,Thu,9,Feb,40,,6,,critical,highest,1,9,YES,1,0,2232351.0,,2232351.0,0.0,,80,80,high
105938,14,Sat,11,Feb,42,,1,,normal,medium,2,4,YES,1,0,12889710.0,,12889710.0,0.0,,81,81,isolated
105941,15,Sat,11,Feb,42,,4,,normal,medium,1,5,YES,1,0,427988.0,,427988.0,0.0,,82,82,skewed
106020,11,Wed,15,Feb,46,,2,,normal,medium,1,3,YES,1,0,7343805.0,,7343805.0,0.0,,83,83,isolated
106064,16,Fri,17,Feb,48,,1,,critical,high,3,4,NO,1,0,5720119.0,,5720119.0,0.0,,84,84,high
106120,4,Tue,21,Feb,52,,5,,normal,medium,1,4,YES,1,0,47656.0,,47656.0,0.0,,85,85,skewed
106121,4,Tue,21,Feb,52,,5,,normal,medium,1,3,YES,1,0,3643661.0,,3643661.0,0.0,,86,86,skewed
106131,20,Tue,21,Feb,52,,1,,critical,highest,5,38,NO,1,0,-1,,-1,0.0,,87,87,moderate
106161,15,Thu,23,Feb,54,,1,,critical,highest,4,23,NO,1,0,-1,,-1,0.0,,88,88,isolated
106220,18,Mon,27,Feb,58,,4,,normal,medium,3,8,YES,1,0,11542652.0,,11542652.0,0.0,,89,89,high
106265,22,Wed,1,Mar,60,,6,,critical,highest,16,65,NO,1,0,20807234.0,,20807234.0,0.0,,90,90,high
106282,14,Thu,2,Mar,61,,1,,critical,highest,2,11,NO,0,0,-1,,-1,0.0,,91,91,isolated
106424,23,Tue,7,Mar,66,,4,,normal,medium,5,11,NO,1,0,7748342.0,,7748342.0,0.0,,92,92,skewed
106490,6,Sat,11,Mar,70,,1,,normal,medium,4,5,NO,0,0,-1,,-1,0.0,,93,93,high
106526,8,Tue,14,Mar,73,,1,,critical,medium,5,18,NO,0,0,-1,,-1,0.0,,94,94,high
106557,19,Wed,15,Mar,74,,2,,major,high,4,10,NO,1,0,503436.0,,503436.0,0.0,,95,95,high
106583,2,Fri,17,Mar,76,,1,,normal,medium,2,5,NO,1,0,19643353.0,,19643353.0,0.0,,96,96,isolated
106722,12,Thu,23,Mar,82,,1,,normal,medium,2,4,NO,0,0,-1,,-1,0.0,,97,97,isolated
106724,16,Thu,23,Mar,82,,1,,critical,highest,2,10,NO,1,0,9413455.0,,9413455.0,0.0,,98,98,isolated
106776,11,Sun,26,Mar,85,,6,,normal,medium,4,4,YES,1,0,23644.0,,23644.0,0.0,,99,99,high
106891,1,Fri,31,Mar,90,,1,,normal,medium,1,6,YES,1,0,3651806.0,,3651806.0,0.0,,100,100,isolated
106936,4,Tue,4,Apr,94,,5,,normal,medium,0,2,YES,1,0,16887.0,,16887.0,0.0,,101,101,skewed
107023,1,Sat,8,Apr,98,,6,,critical,highest,7,30,YES,1,0,12672971.0,,12672971.0,0.0,,102,102,high
107064,10,Mon,10,Apr,100,,1,,normal,medium,2,14,NO,0,0,-1,,-1,0.0,,103,103,isolated
107226,9,Mon,17,Apr,107,,4,,normal,medium,1,3,YES,1,0,681.0,,681.0,0.0,,104,104,skewed
107297,15,Thu,20,Apr,110,,1,,major,low,1,6,NO,0,0,-1,,-1,0.0,,105,105,moderate
107378,8,Mon,24,Apr,114,,1,,normal,medium,1,5,YES,1,0,4002786.0,,4002786.0,0.0,,106,106,isolated
107427,17,Tue,25,Apr,115,,1,,critical,highest,2,20,NO,1,0,-1,,-1,0.0,,107,107,moderate
107474,8,Thu,27,Apr,117,,1,,critical,highest,2,15,NO,1,0,-1,,-1,0.0,,108,108,isolated
107527,8,Sun,30,Apr,120,,1,,normal,medium,2,8,YES,1,0,11084209.0,,11084209.0,0.0,,109,109,isolated
107534,18,Sun,30,Apr,120,,1,,normal,medium,2,2,NO,0,0,-1,,-1,0.0,,110,110,isolated
107550,20,Mon,1,May,121,,6,,normal,medium,1,12,NO,1,0,2591128.0,,2591128.0,0.0,,111,111,high
107603,16,Wed,3,May,123,,1,,critical,highest,2,7,NO,0,0,-1,,-1,0.0,,112,112,high
107729,15,Tue,9,May,129,,1,,critical,highest,2,9,NO,1,0,1875361.0,,1875361.0,0.0,,113,113,moderate
107730,17,Tue,9,May,129,,1,,normal,medium,6,11,NO,1,0,11163501.0,,11163501.0,0.0,,114,114,high
107732,18,Tue,9,May,129,,2,,normal,medium,2,12,YES,1,0,693518.0,,693518.0,0.0,,115,115,isolated
107781,19,Thu,11,May,131,,1,,normal,medium,1,4,YES,1,0,14571427.0,,14571427.0,0.0,,116,116,moderate
107799,14,Fri,12,May,132,,1,,normal,medium,2,5,YES,1,0,5161894.0,,5161894.0,0.0,,117,117,isolated
107869,14,Mon,15,May,135,,3,,critical,medium,2,4,NO,1,0,-1,,-1,0.0,,118,118,isolated
107887,10,Tue,16,May,136,,1,,normal,medium,1,6,NO,1,0,5137045.0,,5137045.0,0.0,,119,119,isolated
107959,17,Fri,19,May,139,,2,,normal,medium,5,17,NO,1,0,-1,,-1,0.0,,120,120,high
107973,17,Sat,20,May,140,,3,,critical,high,3,3,NO,0,0,-1,,-1,0.0,,121,121,isolated
107975,18,Sat,20,May,140,,2,,critical,highest,4,16,NO,1,0,6651667.0,,6651667.0,0.0,,122,122,isolated
107976,19,Sat,20,May,140,,4,,critical,highest,5,20,NO,1,0,-1,,-1,0.0,,123,123,high
108039,20,Tue,23,May,143,,1,,normal,medium,2,5,NO,1,0,1256707.0,,1256707.0,0.0,,124,124,isolated
108116,12,Fri,26,May,146,,1,,major,medium,2,7,YES,1,0,10646299.0,,10646299.0,0.0,,125,125,isolated
108153,10,Sat,27,May,147,,1,,normal,medium,4,7,NO,0,0,-1,,-1,0.0,,126,126,skewed
108184,20,Sat,27,May,147,,1,,normal,medium,1,5,YES,1,0,13187652.0,,13187652.0,0.0,,127,127,moderate
108225,14,Mon,29,May,149,,1,,critical,highest,2,5,NO,1,0,173347.0,,173347.0,0.0,,128,128,high
108229,17,Mon,29,May,149,,1,,normal,medium,1,4,YES,1,0,13023954.0,,13023954.0,0.0,,129,129,moderate
108282,15,Thu,1,Jun,152,,5,,normal,medium,1,2,YES,1,0,1146.0,,1146.0,0.0,,130,130,skewed
108297,6,Fri,2,Jun,153,,6,,normal,medium,1,9,YES,1,0,18721.0,,18721.0,0.0,,131,131,high
108303,9,Fri,2,Jun,153,,6,,normal,medium,2,5,YES,1,0,12817852.0,,12817852.0,0.0,,132,132,high
108324,14,Sat,3,Jun,154,,1,,normal,medium,2,9,NO,0,0,-1,,-1,0.0,,133,133,high
108339,0,Mon,5,Jun,156,,10,,normal,medium,1,3,NO,0,0,-1,,-1,0.0,,134,134,isolated
108552,12,Thu,15,Jun,166,,1,,critical,highest,4,13,NO,0,0,-1,,-1,0.0,,135,135,isolated
108602,22,Sat,17,Jun,168,,1,,normal,medium,1,2,NO,0,0,-1,,-1,0.0,,136,136,isolated
108881,20,Fri,30,Jun,181,,1,,critical,highest,3,15,NO,1,0,-1,,-1,0.0,,137,137,high
108886,11,Sat,1,Jul,182,,1,,critical,high,1,4,YES,1,0,195261.0,,195261.0,0.0,,138,138,high
108930,16,Mon,3,Jul,184,,2,,normal,medium,1,5,YES,1,0,62965.0,,62965.0,0.0,,139,139,moderate
108979,22,Wed,5,Jul,186,,1,,normal,medium,1,4,NO,0,0,-1,,-1,0.0,,140,140,high
108982,7,Thu,6,Jul,187,,1,,normal,medium,1,3,NO,0,0,-1,,-1,0.0,,141,141,high
108987,9,Thu,6,Jul,187,,5,,normal,medium,1,6,YES,1,0,418212.0,,418212.0,0.0,,142,142,skewed
109008,18,Fri,7,Jul,188,,1,,normal,medium,2,3,NO,0,0,-1,,-1,0.0,,143,143,isolated
109052,18,Mon,10,Jul,191,,1,,critical,medium,2,8,NO,1,0,4984031.0,,4984031.0,0.0,,144,144,high
109054,18,Mon,10,Jul,191,,6,,critical,medium,1,5,YES,1,0,83595.0,,83595.0,0.0,,145,145,high
109261,18,Fri,21,Jul,202,,1,,major,medium,2,10,NO,1,0,4032930.0,,4032930.0,0.0,,146,146,isolated
109337,14,Tue,25,Jul,206,,5,,normal,medium,1,5,YES,1,0,64892.0,,64892.0,0.0,,147,147,skewed
109342,16,Tue,25,Jul,206,,1,,critical,medium,1,1,NO,1,0,56577.0,,56577.0,0.0,,148,148,high
109376,11,Wed,26,Jul,207,,2,,normal,medium,1,4,YES,1,0,7196.0,,7196.0,0.0,,149,149,isolated
109856,18,Fri,28,Jul,209,,1,,critical,highest,4,26,NO,1,0,-1,,-1,0.0,,150,150,isolated
109859,19,Fri,28,Jul,209,,1,,critical,highest,3,10,NO,1,0,1971691.0,,1971691.0,0.0,,151,151,isolated
109863,20,Fri,28,Jul,209,,1,,critical,highest,6,30,NO,1,0,2156517.0,,2156517.0,0.0,,152,152,high
110447,1,Mon,31,Jul,212,,1,,normal,medium,1,2,NO,0,0,-1,,-1,0.0,,153,153,high
111077,9,Wed,2,Aug,214,,1,,normal,medium,1,3,NO,0,0,-1,,-1,0.0,,154,154,isolated
111173,18,Wed,2,Aug,214,,3,,critical,highest,4,17,NO,1,0,-1,,-1,0.0,,155,155,isolated
111200,20,Wed,2,Aug,214,,1,,normal,medium,1,3,NO,0,0,-1,,-1,0.0,,156,156,isolated
111308,10,Thu,3,Aug,215,,1,,critical,medium,3,12,NO,1,0,42230.0,,42230.0,0.0,,157,157,isolated
111425,22,Sun,6,Aug,218,,1,,normal,medium,1,7,YES,1,0,120710.0,,120710.0,0.0,,158,158,high
111522,17,Tue,8,Aug,220,,1,,normal,medium,2,7,NO,0,0,-1,,-1,0.0,,159,159,isolated
111793,5,Mon,14,Aug,226,,1,,normal,medium,1,2,NO,0,0,-1,,-1,0.0,,160,160,high
111897,10,Fri,18,Aug,230,,1,,normal,medium,4,10,YES,1,0,6044726.0,,6044726.0,0.0,,161,161,high
111974,18,Tue,22,Aug,234,,3,,critical,highest,2,19,NO,1,0,1545304.0,,1545304.0,0.0,,162,162,isolated
112168,18,Fri,1,Sep,244,,2,,normal,medium,1,3,YES,1,0,1173.0,,1173.0,0.0,,163,163,high
112169,19,Fri,1,Sep,244,,2,,normal,medium,9,18,NO,1,0,2041561.0,,2041561.0,0.0,,164,164,high
112263,21,Wed,6,Sep,249,,1,,normal,medium,1,2,NO,0,0,-1,,-1,0.0,,165,165,high
112282,2,Fri,8,Sep,251,,1,,normal,medium,2,9,NO,0,0,-1,,-1,0.0,,166,166,isolated
112310,19,Sun,10,Sep,253,,2,,normal,medium,3,4,NO,0,0,-1,,-1,0.0,,167,167,isolated
112455,20,Sun,17,Sep,260,,2,,normal,medium,2,5,YES,1,0,8626.0,,8626.0,0.0,,168,168,high
112512,8,Wed,20,Sep,263,,2,,normal,medium,1,2,YES,1,0,4021.0,,4021.0,0.0,,169,169,high
112637,9,Mon,25,Sep,268,,2,,normal,medium,1,2,YES,1,0,1001.0,,1001.0,0.0,,170,170,high
113097,15,Fri,13,Oct,286,,2,,normal,medium,1,2,NO,0,0,-1,,-1,0.0,,171,171,isolated
113548,8,Tue,31,Oct,304,,1,,major,medium,1,7,NO,1,0,37783.0,,37783.0,0.0,,172,172,moderate
113657,9,Sun,5,Nov,309,,6,,normal,medium,2,5,NO,0,0,-1,,-1,0.0,,173,173,isolated
69401,3,Mon,16,Sep,259,,6,,major,medium,3,13,YES,1,0,120399359.0,,120399359.0,0.0,,174,174,high
87204,19,Wed,10,Dec,344,,6,,critical,highest,7,18,YES,1,0,75574552.0,,75574552.0,0.0,,175,175,high
95579,18,Wed,4,Nov,308,,1,,major,lowest,5,15,YES,1,0,48345981.0,,48345981.0,0.0,,176,176,moderate
98202,10,Fri,26,Feb,57,,2,,critical,highest,7,9,NO,0,0,-1,,-1,0.0,,177,177,isolated
98868,18,Thu,24,Mar,84,,3,,critical,high,6,16,YES,1,0,33314047.0,,33314047.0,0.0,,178,178,isolated
99626,11,Mon,2,May,123,,1,,normal,medium,1,11,NO,1,0,-1,,-1,0.0,,179,179,isolated
99837,10,Sat,14,May,135,,2,,normal,medium,4,3,NO,0,0,-1,,-1,0.0,,180,180,isolated
